company_id,company_name,kpi,value
code_and_coffee,Code & Coffee GmbH,Cash-Collected Revenue (24 months),"625,759.90 EUR"
code_and_coffee,Code & Coffee GmbH,of which retail sales,"582,807.00 EUR"
code_and_coffee,Code & Coffee GmbH,of which B2B sales collected,"42,952.90 EUR"
code_and_coffee,Code & Coffee GmbH,Indicative Gross Margin (Cash-Collected Revenue - COGS),73.0%
code_and_coffee,Code & Coffee GmbH,Total Analytical Employer Cost (23 months),"191,345.19 EUR"
code_and_coffee,Code & Coffee GmbH,Opening Cash Balance (two accounts),"17,000.00 EUR"
code_and_coffee,Code & Coffee GmbH,Consolidated Cash Balance (end of period),"234,549.89 EUR"
code_and_coffee,Code & Coffee GmbH,Credit Card Debt (end of period),"21,651.00 EUR"
code_and_coffee,Code & Coffee GmbH,Average Observed Monthly Cash Outflows,"17,008.75 EUR"
code_and_coffee,Code & Coffee GmbH,Average Monthly Analytical Operating Costs,"19,111.01 EUR"
code_and_coffee,Code & Coffee GmbH,Cumulative Net Cash Flow,"217,549.89 EUR"
code_and_coffee,Code & Coffee GmbH,Average Monthly Net Cash Flow,"9,064.58 EUR"
code_and_coffee,Code & Coffee GmbH,Runway,Not burning cash (positive 3-month average net flow)
code_and_coffee,Code & Coffee GmbH,Average Customer Collection Time (B2B),45.8 days
code_and_coffee,Code & Coffee GmbH,Late Customer Invoice Payment Rate,41.2 %
code_and_coffee,Code & Coffee GmbH,Open Receivables,"1,153.95 EUR"
code_and_coffee,Code & Coffee GmbH,Average Supplier Payment Time,4.0 days
